code,name,market,yfinance_symbol
340360,다보링크,KOSDAQ,340360.KQ
126560,현대퓨처넷,KOSPI,126560.KS
416180,신성에스티,KOSDAQ,416180.KQ
042420,네오위즈홀딩스,KOSDAQ,042420.KQ
011690,와이투솔루션,KOSPI,011690.KS
011780,금호석유화학,KOSPI,011780.KS
446840,지슨,KOSDAQ,446840.KQ
043650,국순당,KOSDAQ,043650.KQ
041590,플래스크,KOSDAQ,041590.KQ
012030,DB,KOSPI,012030.KS
475560,더본코리아,KOSPI,475560.KS
106080,케이이엠텍,KOSDAQ,106080.KQ
014910,성문전자,KOSPI,014910.KS
015590,DKME,KOSPI,015590.KS
082660,코스나인,KOSDAQ,082660.KQ
140520,대창스틸,KOSDAQ,140520.KQ
397810,애드포러스,KOSDAQ,397810.KQ
053800,안랩,KOSDAQ,053800.KQ
460860,동국제강,KOSPI,460860.KS
064290,인텍플러스,KOSDAQ,064290.KQ
103230,에스앤더블류,KOSDAQ,103230.KQ
227610,아우딘퓨쳐스,KOSDAQ,227610.KQ
004000,롯데정밀화학,KOSPI,004000.KS
042040,케이피엠테크,KOSDAQ,042040.KQ
005830,DB손해보험,KOSPI,005830.KS
005030,부산주공,KOSPI,005030.KS
007590,동방아그로,KOSPI,007590.KS
080160,모두투어,KOSDAQ,080160.KQ
005389,현대차3우B,KOSPI,005389.KS
368600,아이씨에이치,KOSDAQ,368600.KQ
032280,삼일,KOSDAQ,032280.KQ
129920,대성하이텍,KOSDAQ,129920.KQ
453340,현대그린푸드,KOSPI,453340.KS
263720,디앤씨미디어,KOSDAQ,263720.KQ
455900,엔젤로보틱스,KOSDAQ,455900.KQ
005750,대림바스,KOSPI,005750.KS
405920,나라셀라,KOSDAQ,405920.KQ
001040,CJ,KOSPI,001040.KS
036690,코맥스,KOSDAQ,036690.KQ
072770,멤레이비티,KOSDAQ,072770.KQ
067310,하나마이크론,KOSDAQ,067310.KQ
263600,덕우전자,KOSDAQ,263600.KQ
217730,강스템바이오텍,KOSDAQ,217730.KQ
039560,다산네트웍스,KOSDAQ,039560.KQ
140410,메지온,KOSDAQ,140410.KQ
040160,누리플렉스,KOSDAQ,040160.KQ
045970,코아시아,KOSDAQ,045970.KQ
092460,한라IMS,KOSDAQ,092460.KQ
238090,앤디포스,KOSDAQ,238090.KQ
378850,화승알앤에이,KOSPI,378850.KS
154030,아시아종묘,KOSDAQ,154030.KQ
120110,코오롱인더,KOSPI,120110.KS
234080,JW생명과학,KOSPI,234080.KS
016800,퍼시스,KOSPI,016800.KS
196700,웹스,KOSDAQ,196700.KQ
032820,우리기술,KOSDAQ,032820.KQ
002600,조흥,KOSPI,002600.KS
133750,메가엠디,KOSDAQ,133750.KQ
048430,유라테크,KOSDAQ,048430.KQ
264450,유비쿼스,KOSDAQ,264450.KQ
063080,컴투스홀딩스,KOSDAQ,063080.KQ
000490,대동,KOSPI,000490.KS
002760,보락,KOSPI,002760.KS
190510,나무가,KOSDAQ,190510.KQ
001200,유진투자증권,KOSPI,001200.KS
011230,삼화전자,KOSPI,011230.KS
027970,한국제지,KOSPI,027970.KS
179290,엠아이텍,KOSDAQ,179290.KQ
317870,엔바이오니아,KOSDAQ,317870.KQ
032680,소프트센,KOSDAQ,032680.KQ
336680,탑런토탈솔루션,KOSDAQ,336680.KQ
460470,아이빔테크놀로지,KOSDAQ,460470.KQ
091970,나노캠텍,KOSDAQ,091970.KQ
001780,알루코,KOSPI,001780.KS
175140,휴먼테크놀로지,KOSDAQ,175140.KQ
039340,한국경제TV,KOSDAQ,039340.KQ
080220,제주반도체,KOSDAQ,080220.KQ
208860,다산디엠씨,KOSDAQ,208860.KQ
003920,남양유업,KOSPI,003920.KS
058650,세아홀딩스,KOSPI,058650.KS
051380,피씨디렉트,KOSDAQ,051380.KQ
053080,케이엔솔,KOSDAQ,053080.KQ
215480,토박스코리아,KOSDAQ,215480.KQ
002290,삼일기업공사,KOSDAQ,002290.KQ
317120,라닉스,KOSDAQ,317120.KQ
091810,트리니티항공,KOSPI,091810.KS
298540,더네이쳐홀딩스,KOSDAQ,298540.KQ
000370,한화손해보험,KOSPI,000370.KS
055550,신한지주,KOSPI,055550.KS
376900,로킷헬스케어,KOSDAQ,376900.KQ
024800,유성티엔에스,KOSDAQ,024800.KQ
285130,SK케미칼,KOSPI,285130.KS
123700,SJM,KOSPI,123700.KS
009780,엠에스씨,KOSDAQ,009780.KQ
174900,앱클론,KOSDAQ,174900.KQ
182400,엔케이젠바이오텍코리아,KOSDAQ,182400.KQ
089150,케이씨티,KOSDAQ,089150.KQ
057540,옴니시스템,KOSDAQ,057540.KQ
276730,한울앤제주,KOSDAQ,276730.KQ
078600,대주전자재료,KOSDAQ,078600.KQ
270870,뉴트리,KOSDAQ,270870.KQ
457550,우진엔텍,KOSDAQ,457550.KQ
155650,와이엠씨,KOSDAQ,155650.KQ
008370,원풍,KOSDAQ,008370.KQ
462860,더즌,KOSDAQ,462860.KQ
119650,KC코트렐,KOSPI,119650.KS
336570,원텍,KOSDAQ,336570.KQ
088910,동우팜투테이블,KOSDAQ,088910.KQ
121800,비덴트,KOSDAQ,121800.KQ
088390,이녹스,KOSDAQ,088390.KQ
130500,GH신소재,KOSDAQ,130500.KQ
060590,씨티씨바이오,KOSDAQ,060590.KQ
034730,SK,KOSPI,034730.KS
035250,강원랜드,KOSPI,035250.KS
122350,삼기,KOSDAQ,122350.KQ
014190,원익큐브,KOSDAQ,014190.KQ
012750,에스원,KOSPI,012750.KS
019680,대교,KOSPI,019680.KS
425040,티이엠씨,KOSDAQ,425040.KQ
024120,KB오토시스,KOSDAQ,024120.KQ
321550,티움바이오,KOSDAQ,321550.KQ
017810,풀무원,KOSPI,017810.KS
007390,네이처셀,KOSDAQ,007390.KQ
047810,한국항공우주,KOSPI,047810.KS
169330,엠브레인,KOSDAQ,169330.KQ
053980,오상자이엘,KOSDAQ,053980.KQ
059210,메타바이오메드,KOSDAQ,059210.KQ
219420,링크제니시스,KOSDAQ,219420.KQ
082640,동양생명,KOSPI,082640.KS
117580,대성에너지,KOSPI,117580.KS
128940,한미약품,KOSPI,128940.KS
187790,나노,KOSDAQ,187790.KQ
279600,미디어젠,KOSDAQ,279600.KQ
131180,딜리,KOSDAQ,131180.KQ
099190,아이센스,KOSDAQ,099190.KQ
033780,KT&G,KOSPI,033780.KS
104480,티케이케미칼,KOSDAQ,104480.KQ
014620,성광벤드,KOSDAQ,014620.KQ
384470,코어라인소프트,KOSDAQ,384470.KQ
067630,HLB생명과학,KOSDAQ,067630.KQ
104830,원익머트리얼즈,KOSDAQ,104830.KQ
162300,신스틸,KOSDAQ,162300.KQ
136490,선진,KOSPI,136490.KS
222980,한국맥널티,KOSDAQ,222980.KQ
314140,알피바이오,KOSDAQ,314140.KQ
130660,한전산업,KOSPI,130660.KS
229000,젠큐릭스,KOSDAQ,229000.KQ
018700,졸스,KOSDAQ,018700.KQ
131100,티엔엔터테인먼트,KOSDAQ,131100.KQ
434480,모니터랩,KOSDAQ,434480.KQ
435570,에르코스,KOSDAQ,435570.KQ
014830,유니드,KOSPI,014830.KS
430690,한싹,KOSDAQ,430690.KQ
475660,에스켐,KOSDAQ,475660.KQ
004430,송원산업,KOSPI,004430.KS
219130,타이거일렉,KOSDAQ,219130.KQ
032620,GC메디아이,KOSDAQ,032620.KQ
194370,제이에스코퍼레이션,KOSPI,194370.KS
339770,교촌에프앤비,KOSPI,339770.KS
244920,에이플러스에셋,KOSPI,244920.KS
413640,비아이매트릭스,KOSDAQ,413640.KQ
200780,비씨월드제약,KOSDAQ,200780.KQ
047770,코데즈컴바인,KOSDAQ,047770.KQ
333620,엔시스,KOSDAQ,333620.KQ
394420,리센스메디컬,KOSDAQ,394420.KQ
071950,코아스,KOSPI,071950.KS
036580,팜스코,KOSPI,036580.KS
052220,iMBC,KOSDAQ,052220.KQ
104460,디와이피엔에프,KOSDAQ,104460.KQ
032960,동일기연,KOSDAQ,032960.KQ
170900,동아에스티,KOSPI,170900.KS
000880,한화,KOSPI,000880.KS
060850,영림원소프트랩,KOSDAQ,060850.KQ
060250,NHN KCP,KOSDAQ,060250.KQ
051490,나라엠앤디,KOSDAQ,051490.KQ
011320,유니크,KOSDAQ,011320.KQ
299900,위지윅스튜디오,KOSDAQ,299900.KQ
225530,HC보광산업,KOSDAQ,225530.KQ
016450,한세예스24홀딩스,KOSPI,016450.KS
288330,파라택시스코리아,KOSDAQ,288330.KQ
306040,에스제이그룹,KOSDAQ,306040.KQ
035080,그래디언트,KOSDAQ,035080.KQ
448280,에코아이,KOSDAQ,448280.KQ
053270,구영테크,KOSDAQ,053270.KQ
131370,알서포트,KOSDAQ,131370.KQ
036670,삼양케이씨아이,KOSDAQ,036670.KQ
000230,일동홀딩스,KOSPI,000230.KS
060540,에스에이티,KOSDAQ,060540.KQ
011150,CJ씨푸드,KOSPI,011150.KS
058850,KTcs,KOSPI,058850.KS
071970,HD현대마린엔진,KOSPI,071970.KS
066410,버킷스튜디오,KOSDAQ,066410.KQ
044960,이글벳,KOSDAQ,044960.KQ
001740,SK네트웍스,KOSPI,001740.KS
014470,부방,KOSDAQ,014470.KQ
002880,디와이에이,KOSPI,002880.KS
388720,유일로보틱스,KOSDAQ,388720.KQ
241820,피씨엘,KOSDAQ,241820.KQ
145990,삼양사,KOSPI,145990.KS
214330,금호에이치티,KOSPI,214330.KS
032500,케이엠더블유,KOSDAQ,032500.KQ
034810,해성산업,KOSDAQ,034810.KQ
039830,오로라,KOSDAQ,039830.KQ
319400,현대무벡스,KOSDAQ,319400.KQ
088280,쏘닉스,KOSDAQ,088280.KQ
115160,휴맥스,KOSDAQ,115160.KQ
081000,일진다이아,KOSPI,081000.KS
036890,진성티이씨,KOSDAQ,036890.KQ
020000,한섬,KOSPI,020000.KS
002820,SUN&L,KOSPI,002820.KS
036170,에이치엠넥스,KOSDAQ,036170.KQ
067900,와이엔텍,KOSDAQ,067900.KQ
298830,슈어소프트테크,KOSDAQ,298830.KQ
018880,한온시스템,KOSPI,018880.KS
065530,와이어블,KOSDAQ,065530.KQ
127980,화인써키트,KOSDAQ,127980.KQ
189330,씨이랩,KOSDAQ,189330.KQ
352090,스톰테크,KOSDAQ,352090.KQ
014680,한솔케미칼,KOSPI,014680.KS
048770,TPC로보틱스,KOSDAQ,048770.KQ
002420,세기상사,KOSPI,002420.KS
004540,깨끗한나라,KOSPI,004540.KS
054940,엑사이엔씨,KOSDAQ,054940.KQ
031440,신세계푸드,KOSPI,031440.KS
336060,웨이버스,KOSDAQ,336060.KQ
025540,한국단자,KOSPI,025540.KS
309930,조이웍스앤코,KOSDAQ,309930.KQ
023160,태광,KOSDAQ,023160.KQ
204840,지엘팜텍,KOSDAQ,204840.KQ
019770,서연탑메탈,KOSDAQ,019770.KQ
259960,크래프톤,KOSPI,259960.KS
267260,HD현대일렉트릭,KOSPI,267260.KS
106520,노블엠앤비,KOSDAQ,106520.KQ
002070,비비안,KOSPI,002070.KS
069330,유아이디,KOSDAQ,069330.KQ
284740,쿠쿠홈시스,KOSPI,284740.KS
028300,HLB,KOSDAQ,028300.KQ
018310,삼목에스폼,KOSDAQ,018310.KQ
168330,내츄럴엔도텍,KOSDAQ,168330.KQ
003680,한성기업,KOSPI,003680.KS
079950,인베니아,KOSDAQ,079950.KQ
198080,캐프,KOSDAQ,198080.KQ
005420,코스모화학,KOSPI,005420.KS
104620,노랑풍선,KOSDAQ,104620.KQ
004700,조광피혁,KOSPI,004700.KS
002210,동성제약,KOSPI,002210.KS
294630,서남,KOSDAQ,294630.KQ
083650,비에이치아이,KOSDAQ,083650.KQ
187420,HLB제넥스,KOSDAQ,187420.KQ
338840,와이바이오로직스,KOSDAQ,338840.KQ
088130,동아엘텍,KOSDAQ,088130.KQ
113810,디젠스,KOSDAQ,113810.KQ
155660,DSR,KOSPI,155660.KS
017180,명문제약,KOSPI,017180.KS
454910,두산로보틱스,KOSPI,454910.KS
014790,HL D&I,KOSPI,014790.KS
213500,한솔제지,KOSPI,213500.KS
002840,미원상사,KOSPI,002840.KS
010040,한국내화,KOSPI,010040.KS
049080,기가레인,KOSDAQ,049080.KQ
032640,LG유플러스,KOSPI,032640.KS
016360,삼성증권,KOSPI,016360.KS
122870,와이지엔터테인먼트,KOSDAQ,122870.KQ
046070,코다코,KOSDAQ,046070.KQ
246690,TS인베스트먼트,KOSDAQ,246690.KQ
290520,신도기연,KOSDAQ,290520.KQ
439960,코스모로보틱스,KOSDAQ,439960.KQ
002450,삼익악기,KOSPI,002450.KS
010100,한국무브넥스,KOSPI,010100.KS
033130,디지틀조선,KOSDAQ,033130.KQ
237820,플레이디,KOSDAQ,237820.KQ
464280,티디에스팜,KOSDAQ,464280.KQ
282720,금양그린파워,KOSDAQ,282720.KQ
125210,아모그린텍,KOSDAQ,125210.KQ
020120,키다리스튜디오,KOSPI,020120.KS
092190,서울바이오시스,KOSDAQ,092190.KQ
230240,에치에프알,KOSDAQ,230240.KQ
256150,한독크린텍,KOSDAQ,256150.KQ
364950,에이아이코리아,KOSDAQ,364950.KQ
373160,데이원컴퍼니,KOSDAQ,373160.KQ
080720,한국유니온제약,KOSDAQ,080720.KQ
060570,드림어스컴퍼니,KOSDAQ,060570.KQ
445180,퓨릿,KOSDAQ,445180.KQ
226950,올릭스,KOSDAQ,226950.KQ
034590,인천도시가스,KOSPI,034590.KS
084440,유비온,KOSDAQ,084440.KQ
483650,달바글로벌,KOSPI,483650.KS
008600,윌비스,KOSPI,008600.KS
377330,이지트로닉스,KOSDAQ,377330.KQ
013310,아진산업,KOSDAQ,013310.KQ
003030,세아제강지주,KOSPI,003030.KS
054950,제이브이엠,KOSDAQ,054950.KQ
389680,유디엠텍,KOSDAQ,389680.KQ
263800,데이타솔루션,KOSDAQ,263800.KQ
490470,세미파이브,KOSDAQ,490470.KQ
039570,HDC랩스,KOSPI,039570.KS
192650,드림텍,KOSPI,192650.KS
009440,KC그린홀딩스,KOSPI,009440.KS
000990,DB하이텍,KOSPI,000990.KS
402490,그린리소스,KOSDAQ,402490.KQ
092870,엑시콘,KOSDAQ,092870.KQ
000670,영풍,KOSPI,000670.KS
103840,우양,KOSDAQ,103840.KQ
003960,사조대림,KOSPI,003960.KS
086390,유니테스트,KOSDAQ,086390.KQ
280360,롯데웰푸드,KOSPI,280360.KS
023410,유진기업,KOSDAQ,023410.KQ
005300,롯데칠성,KOSPI,005300.KS
092780,DYP,KOSPI,092780.KS
079810,APS이노베이션,KOSDAQ,079810.KQ
058970,엠로,KOSDAQ,058970.KQ
090410,덕신이피씨,KOSDAQ,090410.KQ
084670,동양고속,KOSPI,084670.KS
001560,제일연마,KOSPI,001560.KS
317690,퀀타매트릭스,KOSDAQ,317690.KQ
102260,동성케미컬,KOSPI,102260.KS
228850,레이언스,KOSDAQ,228850.KQ
032790,엠젠솔루션,KOSDAQ,032790.KQ
002460,HS화성,KOSPI,002460.KS
059100,아이컴포넌트,KOSDAQ,059100.KQ
187220,디티앤씨,KOSDAQ,187220.KQ
451250,삐아,KOSDAQ,451250.KQ
241710,코스메카코리아,KOSDAQ,241710.KQ
014710,사조씨푸드,KOSPI,014710.KS
020150,롯데에너지머티리얼즈,KOSPI,020150.KS
457370,한켐,KOSDAQ,457370.KQ
246960,SCL사이언스,KOSDAQ,246960.KQ
005880,대한해운,KOSPI,005880.KS
005940,NH투자증권,KOSPI,005940.KS
054040,한국컴퓨터,KOSDAQ,054040.KQ
388790,라이콤,KOSDAQ,388790.KQ
071850,캐스텍코리아,KOSDAQ,071850.KQ
006380,카프로,KOSPI,006380.KS
101680,한국정밀기계,KOSDAQ,101680.KQ
080530,코디,KOSDAQ,080530.KQ
298380,에이비엘바이오,KOSDAQ,298380.KQ
475430,키스트론,KOSDAQ,475430.KQ
189690,포시에스,KOSDAQ,189690.KQ
036030,케이티알파,KOSDAQ,036030.KQ
214370,케어젠,KOSDAQ,214370.KQ
003240,태광산업,KOSPI,003240.KS
024910,경창산업,KOSDAQ,024910.KQ
088790,진도,KOSPI,088790.KS
006040,동원산업,KOSPI,006040.KS
487570,HS효성,KOSPI,487570.KS
344820,KCC글라스,KOSPI,344820.KS
003520,영진약품,KOSPI,003520.KS
004140,동방,KOSPI,004140.KS
424760,벨로크,KOSDAQ,424760.KQ
100660,서암기계공업,KOSDAQ,100660.KQ
328380,솔트웨어,KOSDAQ,328380.KQ
005360,모나미,KOSPI,005360.KS
027710,팜스토리,KOSDAQ,027710.KQ
112290,와이씨켐,KOSDAQ,112290.KQ
101730,위메이드맥스,KOSDAQ,101730.KQ
403850,더핑크퐁컴퍼니,KOSDAQ,403850.KQ
396470,워트,KOSDAQ,396470.KQ
001570,금양,KOSPI,001570.KS
348080,큐라티스,KOSDAQ,348080.KQ
257370,피엔티엠에스,KOSDAQ,257370.KQ
049430,코메론,KOSDAQ,049430.KQ
038620,위즈코프,KOSDAQ,038620.KQ
009450,경동나비엔,KOSPI,009450.KS
187270,신화콘텍,KOSDAQ,187270.KQ
016250,SGC E&C,KOSDAQ,016250.KQ
039740,한국정보공학,KOSDAQ,039740.KQ
307930,컴퍼니케이,KOSDAQ,307930.KQ
047080,한빛소프트,KOSDAQ,047080.KQ
102370,케이옥션,KOSDAQ,102370.KQ
391710,코닉오토메이션,KOSDAQ,391710.KQ
123750,알톤,KOSDAQ,123750.KQ
464580,닷밀,KOSDAQ,464580.KQ
023530,롯데쇼핑,KOSPI,023530.KS
038060,루멘스,KOSDAQ,038060.KQ
035290,골드앤에스,KOSDAQ,035290.KQ
006370,대구백화점,KOSPI,006370.KS
049480,오픈베이스,KOSDAQ,049480.KQ
001510,SK증권,KOSPI,001510.KS
316140,우리금융지주,KOSPI,316140.KS
030200,KT,KOSPI,030200.KS
208350,지란지교시큐리티,KOSDAQ,208350.KQ
009200,무림페이퍼,KOSPI,009200.KS
432430,와이랩,KOSDAQ,432430.KQ
387570,파인메딕스,KOSDAQ,387570.KQ
036420,콘텐트리중앙,KOSPI,036420.KS
099520,DGI,KOSDAQ,099520.KQ
002320,한진,KOSPI,002320.KS
095570,AJ네트웍스,KOSPI,095570.KS
012610,경인양행,KOSPI,012610.KS
091590,남화토건,KOSDAQ,091590.KQ
041910,폴라리스AI파마,KOSDAQ,041910.KQ
052710,아모텍,KOSDAQ,052710.KQ
061250,화일약품,KOSDAQ,061250.KQ
020180,대신정보통신,KOSDAQ,020180.KQ
228760,지노믹트리,KOSDAQ,228760.KQ
066700,테라젠이텍스,KOSDAQ,066700.KQ
446540,메가터치,KOSDAQ,446540.KQ
092070,디엔에프,KOSDAQ,092070.KQ
161390,한국타이어앤테크놀로지,KOSPI,161390.KS
069920,엑시온그룹,KOSDAQ,069920.KQ
252500,세화피앤씨,KOSDAQ,252500.KQ
256940,킵스파마,KOSDAQ,256940.KQ
131290,티에스이,KOSDAQ,131290.KQ
004410,서울식품,KOSPI,004410.KS
333430,일승,KOSDAQ,333430.KQ
056730,CNT85,KOSDAQ,056730.KQ
000120,CJ대한통운,KOSPI,000120.KS
303530,이노뎁,KOSDAQ,303530.KQ
004270,남성,KOSPI,004270.KS
018290,브이티,KOSDAQ,018290.KQ
355150,코스텍시스,KOSDAQ,355150.KQ
002380,KCC,KOSPI,002380.KS
216080,제테마,KOSDAQ,216080.KQ
198440,강동씨앤엘,KOSDAQ,198440.KQ
008250,이건산업,KOSPI,008250.KS
474610,RF시스템즈,KOSDAQ,474610.KQ
037440,희림,KOSDAQ,037440.KQ
331380,포커스에이아이,KOSDAQ,331380.KQ
007540,샘표,KOSPI,007540.KS
199820,제일일렉트릭,KOSDAQ,199820.KQ
078350,한양디지텍,KOSDAQ,078350.KQ
307870,비투엔,KOSDAQ,307870.KQ
214320,이노션,KOSPI,214320.KS
063160,종근당바이오,KOSPI,063160.KS
432980,엠에프씨,KOSDAQ,432980.KQ
058110,멕아이씨에스,KOSDAQ,058110.KQ
215090,솔디펜스,KOSDAQ,215090.KQ
083790,CG인바이츠,KOSDAQ,083790.KQ
357550,석경에이티,KOSDAQ,357550.KQ
376290,씨유테크,KOSDAQ,376290.KQ
377480,마음AI,KOSDAQ,377480.KQ
254120,자비스,KOSDAQ,254120.KQ
096240,크레버스,KOSDAQ,096240.KQ
096870,엘디티,KOSDAQ,096870.KQ
033560,블루콤,KOSDAQ,033560.KQ
307180,아이엘,KOSDAQ,307180.KQ
348350,위드텍,KOSDAQ,348350.KQ
071320,지역난방공사,KOSPI,071320.KS
452190,한빛레이저,KOSDAQ,452190.KQ
084110,휴온스글로벌,KOSDAQ,084110.KQ
066430,아이로보틱스,KOSDAQ,066430.KQ
037950,엘컴텍,KOSDAQ,037950.KQ
001270,부국증권,KOSPI,001270.KS
054800,아이디스홀딩스,KOSDAQ,054800.KQ
255220,SG,KOSDAQ,255220.KQ
090370,메타랩스,KOSPI,090370.KS
000300,DH오토넥스,KOSPI,000300.KS
071090,하이스틸,KOSPI,071090.KS
096690,에이루트,KOSDAQ,096690.KQ
013000,세우글로벌,KOSPI,013000.KS
027740,마니커,KOSPI,027740.KS
032940,원익,KOSDAQ,032940.KQ
008970,KBI동양철관,KOSPI,008970.KS
217190,제너셈,KOSDAQ,217190.KQ
003230,삼양식품,KOSPI,003230.KS
102460,이연제약,KOSPI,102460.KS
263770,유에스티,KOSDAQ,263770.KQ
005110,한창,KOSPI,005110.KS
098460,고영,KOSDAQ,098460.KQ
003690,코리안리,KOSPI,003690.KS
468530,프로티나,KOSDAQ,468530.KQ
054780,키이스트,KOSDAQ,054780.KQ
081580,성우전자,KOSDAQ,081580.KQ
074430,아미노로직스,KOSDAQ,074430.KQ
021820,세원정공,KOSPI,021820.KS
006730,서부T&D,KOSDAQ,006730.KQ
310200,애니플러스,KOSDAQ,310200.KQ
101490,에스앤에스텍,KOSDAQ,101490.KQ
439580,블루엠텍,KOSDAQ,439580.KQ
004870,티웨이홀딩스,KOSPI,004870.KS
006360,GS건설,KOSPI,006360.KS
040610,SG&G,KOSDAQ,040610.KQ
005820,원림,KOSPI,005820.KS
450080,에코프로머티,KOSPI,450080.KS
452300,캡스톤파트너스,KOSDAQ,452300.KQ
323410,카카오뱅크,KOSPI,323410.KS
094170,동운아나텍,KOSDAQ,094170.KQ
101970,우양에이치씨,KOSDAQ,101970.KQ
336260,두산퓨얼셀,KOSPI,336260.KS
031980,피에스케이홀딩스,KOSDAQ,031980.KQ
377220,프롬바이오,KOSDAQ,377220.KQ
044380,주연테크,KOSPI,044380.KS
032350,롯데관광개발,KOSPI,032350.KS
171120,라이온켐텍,KOSDAQ,171120.KQ
087600,픽셀플러스,KOSDAQ,087600.KQ
203690,아크솔루션스,KOSDAQ,203690.KQ
900310,컬러레이,KOSDAQ,900310.KQ
256840,한국비엔씨,KOSDAQ,256840.KQ
067570,엔브이에이치코리아,KOSDAQ,067570.KQ
089980,상아프론테크,KOSDAQ,089980.KQ
006110,삼아알미늄,KOSPI,006110.KS
095500,미래나노텍,KOSDAQ,095500.KQ
019170,신풍제약,KOSPI,019170.KS
006880,신송홀딩스,KOSPI,006880.KS
462520,조선내화,KOSPI,462520.KS
393970,대진첨단소재,KOSDAQ,393970.KQ
308080,바이젠셀,KOSDAQ,308080.KQ
044450,KSS해운,KOSPI,044450.KS
086960,MDS테크,KOSDAQ,086960.KQ
356890,싸이버원,KOSDAQ,356890.KQ
