total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,max_positions,train_end,trade_year,cash_fraction_per_entry,max_notional,daily_avg_pct_252,target_05pct_day
30.94,-7.38,140,52,37.14,3.4696,1309441.69,1000000,30.0,83430.36,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.25,100000,0.12277777777777778,False
37.81,-8.82,141,53,37.59,3.5318,1378120.71,1000000,30.0,97843.8,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.25,150000,0.15003968253968256,False
40.75,-9.67,141,53,37.59,3.5782,1407537.77,1000000,30.0,101219.04,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.25,200000,0.16170634920634921,False
38.14,-9.91,141,53,37.59,3.3111,1381370.68,1000000,30.0,102284.43,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.25,300000,0.15134920634920634,False
37.08,-9.91,141,53,37.59,3.2406,1370758.77,1000000,30.0,102238.77,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.25,500000,0.14714285714285713,False
32.74,-7.28,140,52,37.14,3.6057,1327435.64,1000000,30.0,84513.96,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.3,100000,0.12992063492063494,False
40.63,-9.47,140,54,38.57,3.5763,1406268.61,1000000,30.0,102490.41,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.3,150000,0.16123015873015875,False
45.63,-11.52,140,53,37.86,3.7533,1456294.74,1000000,30.0,106026.7,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.3,200000,0.18107142857142858,False
44.3,-11.66,141,52,36.88,3.3932,1443021.44,1000000,30.0,109748.78,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.3,300000,0.17579365079365078,False
40.91,-11.66,141,52,36.88,3.215,1409083.84,1000000,30.0,109307.1,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.3,500000,0.16234126984126981,False
32.27,-7.3,142,52,36.62,3.4984,1322742.27,1000000,30.0,86341.96,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.4,100000,0.12805555555555556,False
39.18,-11.82,140,53,37.86,3.347,1391849.33,1000000,30.0,108002.91,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.4,150000,0.15547619047619046,False
57.15,-12.86,137,54,39.42,4.0511,1571472.92,1000000,30.0,113531.67,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.4,200000,0.22678571428571428,False
70.79,-10.01,137,55,40.15,4.4136,1707879.81,1000000,30.0,126017.42,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.4,300000,0.28091269841269845,False
67.04,-9.86,137,55,40.15,4.1246,1670415.8,1000000,30.0,128907.05,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.4,500000,0.26603174603174606,False
32.25,-7.31,142,52,36.62,3.4967,1322520.69,1000000,30.0,86363.1,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.5,100000,0.12797619047619047,False
40.85,-11.05,141,52,36.88,3.3492,1408500.67,1000000,30.0,114575.13,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.5,150000,0.1621031746031746,False
56.64,-11.09,136,55,40.44,3.8877,1566425.04,1000000,30.0,118741.83,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.5,200000,0.22476190476190477,False
80.24,-10.62,138,55,39.86,4.4943,1802375.38,1000000,30.0,133735.15,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.5,300000,0.31841269841269837,False
90.26,-9.73,136,55,40.44,4.4706,1902595.1,1000000,30.0,146216.13,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.5,500000,0.3581746031746032,False
32.25,-7.31,142,52,36.62,3.4967,1322520.69,1000000,30.0,86363.1,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.6,100000,0.12797619047619047,False
45.79,-11.61,142,54,38.03,3.4805,1457869.44,1000000,30.0,118055.65,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.6,150000,0.1817063492063492,False
55.98,-13.99,136,55,40.44,3.6372,1559805.85,1000000,30.0,119815.8,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.6,200000,0.22214285714285714,False
84.23,-12.55,137,55,40.15,4.4437,1842265.15,1000000,30.0,133915.81,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.6,300000,0.33424603174603174,False
73.49,-10.85,130,50,38.46,3.7869,1734944.32,1000000,30.0,137555.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.6,500000,0.2916269841269841,False
32.25,-7.31,142,52,36.62,3.4967,1322520.69,1000000,30.0,86363.1,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.8,100000,0.12797619047619047,False
46.33,-12.63,142,54,38.03,3.4949,1463290.76,1000000,30.0,119835.43,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.8,150000,0.18384920634920635,False
46.1,-15.31,135,53,39.26,3.236,1460994.0,1000000,30.0,114022.26,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.8,200000,0.18293650793650795,False
42.16,-14.05,125,51,40.8,2.8836,1421569.79,1000000,30.0,117532.41,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.8,300000,0.16730158730158728,False
68.82,-14.06,121,46,38.02,3.5074,1688170.72,1000000,30.0,134581.65,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,0.8,500000,0.27309523809523806,False
32.25,-7.31,142,52,36.62,3.4967,1322520.69,1000000,30.0,86363.1,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,1.0,100000,0.12797619047619047,False
51.5,-9.72,132,49,37.12,4.0433,1515003.45,1000000,30.0,120704.24,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,1.0,150000,0.20436507936507936,False
48.85,-16.82,93,34,36.56,3.1683,1488498.94,1000000,30.0,113281.97,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,1.0,200000,0.19384920634920635,False
59.39,-15.73,69,24,34.78,3.4424,1593855.53,1000000,30.0,126205.36,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,1.0,300000,0.23567460317460318,False
31.35,-21.61,33,11,33.33,2.0991,1313504.94,1000000,30.0,100176.07,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2023,2024,1.0,500000,0.1244047619047619,False
13.57,-16.06,111,41,36.94,1.6803,1135682.29,1000000,30.0,66014.78,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.25,100000,0.05384920634920635,False
26.36,-17.04,110,42,38.18,2.537,1263557.41,1000000,30.0,81566.9,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.25,150000,0.1046031746031746,False
31.56,-18.15,110,43,39.09,2.7625,1315583.49,1000000,30.0,86295.84,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.25,200000,0.12523809523809523,False
31.4,-19.39,110,42,38.18,2.6622,1313977.22,1000000,30.0,88221.37,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.25,300000,0.12460317460317459,False
30.42,-19.99,110,42,38.18,2.5918,1304183.1,1000000,30.0,88246.4,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.25,500000,0.12071428571428572,False
13.69,-16.04,111,41,36.94,1.6804,1136881.95,1000000,30.0,66715.01,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.3,100000,0.054325396825396825,False
26.94,-17.65,110,42,38.18,2.4836,1269443.31,1000000,30.0,85693.96,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.3,150000,0.1069047619047619,False
34.44,-18.43,110,43,39.09,2.8454,1344363.93,1000000,30.0,92009.1,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.3,200000,0.13666666666666666,False
41.09,-19.19,110,42,38.18,3.0094,1410900.28,1000000,30.0,97448.04,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.3,300000,0.16305555555555556,False
41.94,-19.2,110,43,39.09,3.0684,1419364.58,1000000,30.0,97949.33,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.3,500000,0.16642857142857143,False
13.61,-16.05,111,41,36.94,1.6615,1136077.05,1000000,30.0,67132.82,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.4,100000,0.054007936507936505,False
34.19,-16.19,108,42,38.89,2.8833,1341885.8,1000000,30.0,89876.98,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.4,150000,0.13567460317460317,False
30.18,-19.16,109,40,36.7,2.3887,1301780.32,1000000,30.0,96010.47,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.4,200000,0.11976190476190476,False
48.27,-20.0,109,43,39.45,3.0809,1482706.61,1000000,30.0,106628.37,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.4,300000,0.19154761904761905,False
54.96,-21.36,110,44,40.0,3.2798,1549616.5,1000000,30.0,112504.86,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.4,500000,0.2180952380952381,False
13.61,-16.05,111,41,36.94,1.6615,1136077.05,1000000,30.0,67132.82,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.5,100000,0.054007936507936505,False
44.63,-15.26,108,42,38.89,3.4788,1446292.9,1000000,30.0,91326.61,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.5,150000,0.17710317460317462,False
38.09,-19.84,108,42,38.89,2.8316,1380942.59,1000000,30.0,103321.94,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.5,200000,0.15115079365079367,False
52.51,-19.52,109,43,39.45,3.1128,1525130.43,1000000,30.0,110965.21,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.5,300000,0.20837301587301588,False
78.48,-19.23,108,43,39.81,3.6537,1784751.61,1000000,30.0,126637.66,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.5,500000,0.31142857142857144,False
13.61,-16.05,111,41,36.94,1.6615,1136077.05,1000000,30.0,67132.82,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.6,100000,0.054007936507936505,False
44.25,-15.3,108,42,38.89,3.4548,1442505.27,1000000,30.0,91909.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.6,150000,0.17559523809523808,False
38.55,-20.37,111,44,39.64,2.8285,1385509.1,1000000,30.0,108093.26,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.6,200000,0.15297619047619046,False
48.77,-19.67,111,41,36.94,2.8659,1487699.52,1000000,30.0,111668.74,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.6,300000,0.19353174603174605,False
100.83,-19.72,109,42,38.53,3.9228,2008286.12,1000000,30.0,143687.65,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.6,500000,0.4001190476190476,False
13.61,-16.05,111,41,36.94,1.6615,1136077.05,1000000,30.0,67132.82,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.8,100000,0.054007936507936505,False
43.55,-15.36,108,42,38.89,3.4065,1435538.17,1000000,30.0,92160.98,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.8,150000,0.17281746031746031,False
59.91,-17.83,107,43,40.19,3.7001,1599147.3,1000000,30.0,113717.61,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.8,200000,0.23773809523809522,False
52.76,-18.62,112,41,36.61,2.9155,1527557.8,1000000,30.0,117735.18,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.8,300000,0.20936507936507937,False
117.27,-15.7,108,44,40.74,4.0279,2172720.44,1000000,30.0,155226.96,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,0.8,500000,0.46535714285714286,False
13.61,-16.05,111,41,36.94,1.6615,1136077.05,1000000,30.0,67132.82,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,1.0,100000,0.054007936507936505,False
45.9,-15.15,102,40,39.22,3.578,1459012.14,1000000,30.0,93355.33,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,1.0,150000,0.18214285714285713,False
61.76,-16.26,95,36,37.89,3.7224,1617628.57,1000000,30.0,116065.39,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,1.0,200000,0.24507936507936506,False
42.83,-19.06,57,21,36.84,2.5005,1428282.05,1000000,30.0,104145.61,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,1.0,300000,0.16996031746031745,False
87.65,-16.6,40,16,40.0,3.6255,1876486.8,1000000,30.0,122961.05,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,2023,2024,1.0,500000,0.34781746031746036,False
88.18,-7.84,128,62,48.44,8.5898,1881766.37,1000000,30.0,77862.64,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.25,100000,0.34992063492063497,False
110.12,-7.17,132,58,43.94,8.2509,2101195.36,1000000,30.0,101036.09,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.25,150000,0.436984126984127,False
122.1,-6.67,132,57,43.18,8.5369,2220972.26,1000000,30.0,112103.02,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.25,200000,0.4845238095238095,False
135.87,-6.47,133,58,43.61,8.8225,2358745.78,1000000,30.0,120985.67,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.25,300000,0.5391666666666667,True
138.58,-6.47,133,58,43.61,8.6896,2385830.56,1000000,30.0,122408.4,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.25,500000,0.5499206349206349,True
88.41,-8.21,128,62,48.44,8.5621,1884119.03,1000000,30.0,78863.13,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.3,100000,0.35083333333333333,False
113.32,-7.96,132,58,43.94,8.1375,2133209.98,1000000,30.0,104507.33,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.3,150000,0.44968253968253963,False
140.57,-6.96,133,58,43.61,8.8754,2405740.35,1000000,30.0,121251.64,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.3,200000,0.5578174603174603,True
152.34,-6.74,134,59,44.03,9.0684,2523395.68,1000000,30.0,132715.93,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.3,300000,0.6045238095238096,True
155.29,-6.74,134,59,44.03,8.6199,2552949.91,1000000,30.0,136562.56,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.3,500000,0.6162301587301587,True
87.56,-8.18,128,62,48.44,8.4623,1875555.7,1000000,30.0,79720.54,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.4,100000,0.34746031746031747,False
102.51,-9.07,130,55,42.31,7.4088,2025078.87,1000000,30.0,106256.81,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.4,150000,0.4067857142857143,False
147.06,-7.74,132,56,42.42,8.6149,2470567.56,1000000,30.0,126623.74,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.4,200000,0.5835714285714286,True
164.8,-6.23,129,56,43.41,8.8415,2648042.18,1000000,30.0,143884.41,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.4,300000,0.653968253968254,True
160.55,-7.04,127,54,42.52,8.0238,2605505.85,1000000,30.0,147754.44,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.4,500000,0.6371031746031747,True
87.49,-8.19,128,62,48.44,8.4582,1874929.43,1000000,30.0,79753.19,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.5,100000,0.34718253968253965,False
102.92,-9.91,129,54,41.86,7.2211,2029236.66,1000000,30.0,108227.68,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.5,150000,0.4084126984126984,False
156.18,-8.54,134,57,42.54,8.2536,2561777.0,1000000,30.0,132604.56,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.5,200000,0.6197619047619047,True
165.34,-6.5,132,56,42.42,8.2921,2653375.08,1000000,30.0,152176.98,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.5,300000,0.6561111111111111,True
170.25,-8.18,127,60,47.24,7.6345,2702549.44,1000000,30.0,159474.57,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.5,500000,0.6755952380952381,True
87.49,-8.19,128,62,48.44,8.4582,1874929.43,1000000,30.0,79753.19,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.6,100000,0.34718253968253965,False
110.53,-12.36,133,57,42.86,7.1921,2105312.63,1000000,30.0,112556.56,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.6,150000,0.4386111111111111,False
150.42,-5.29,129,56,43.41,7.8874,2504166.27,1000000,30.0,132683.99,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.6,200000,0.5969047619047618,True
175.7,-6.38,127,58,45.67,8.6204,2757006.12,1000000,30.0,157289.2,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.6,300000,0.6972222222222222,True
188.42,-9.37,120,61,50.83,7.6739,2884154.47,1000000,30.0,168650.2,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.6,500000,0.7476984126984126,True
87.49,-8.19,128,62,48.44,8.4582,1874929.43,1000000,30.0,79753.19,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.8,100000,0.34718253968253965,False
110.11,-13.16,133,57,42.86,7.0574,2101080.76,1000000,30.0,113771.83,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.8,150000,0.43694444444444447,False
148.66,-9.42,132,59,44.7,7.4592,2486557.23,1000000,30.0,135322.46,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.8,200000,0.589920634920635,True
153.33,-7.39,117,56,47.86,7.0536,2533331.89,1000000,30.0,153517.73,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.8,300000,0.608452380952381,True
212.19,-13.66,114,62,54.39,7.61,3121945.41,1000000,30.0,180905.96,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.8,500000,0.8420238095238095,True
87.49,-8.19,128,62,48.44,8.4582,1874929.43,1000000,30.0,79753.19,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,1.0,100000,0.34718253968253965,False
103.85,-11.46,116,52,44.83,7.167,2038543.96,1000000,30.0,107973.27,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,1.0,150000,0.4121031746031746,False
